dep_id,url,mrds_id,mas_id,site_name,latitude,longitude,region,country,state,county,com_type,commod1,commod2,commod3,oper_type,dep_type,prod_size,dev_stat,ore,gangue,other_matl,orebody_fm,work_type,model,alteration,conc_proc,names,ore_ctrl,reporter,hrock_unit,hrock_type,arock_unit,arock_type,structure,tectonic,ref,yfp_ba,yr_fst_prd,ylp_ba,yr_lst_prd,dy_ba,disc_yr,prod_yrs,discr
10289182,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10289182",,0100050009,Barcroft,38.78313,-75.16072,NA,"United States",Delaware,Sussex,M,Magnesite,,,"Processing Plant",,,Producer,,,,,Water,,,,"Barcroft Seawater Operation",,Hartos,,,,,,,"HILL, M.N. (ED.).  THE SEA: IDEAS AND OBSERVATIONS ONPROGRESS IN THE STUDY OF THE SEAS.  V. 2, INTERSCIENCEPUBLISHERS.  DIVISION OF JOHN WILEY AND SONS, INC.,NEW YORK, 1963, P. 10.JOHNSTONE, S.J. AND M.G. JOHNSTONE.  MINERALS FOR THECHEMICAL AND ALLIED INDUSTRIES.  JOHN WILEY AND SONS,INC., NEW YORK, 1961, P. 339.LADOO, R.B. AND W.M. MYERS.  NONMETALLIC MINERALS.  MCGRAW-HILL BOOK COMPANY, INC., 1951, P. 302.",,1972,,,,,,
10289178,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10289178",,0100050004,"Pine Creek Forge Mine",38.65533,-75.52573,NA,"United States",Delaware,Sussex,M,Iron,,,Surface,,,"Past Producer",,,,,,,,,,,"Eastern Field Operations Center (EFOC)",,,,,,,"WAR MINERALS MEMO REGIONAL FILE NO E-1025.",,,,,,,,
10216335,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10216335",,0100050005,"Deep Creek Mine",38.67693,-75.48793,NA,"United States",Delaware,Sussex,M,Iron,,,Surface,,,"Past Producer",,,,,,,,,,,"Eastern Field Operations Center (EFOC)",,,,,,,"WAR MIN MEMO REGIONAL FILE NO E-1025.",,,,,,,,
10215880,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10215880",,0100050006,"Gravelly Delight Mine",38.67313,-75.55573,NA,"United States",Delaware,Sussex,M,Iron,,,Surface,,,"Past Producer",,,,,,,,,,,"Eastern Field Operations Center (EFOC)",,,,,,,"WAR MIN MEMO REGIONAL FILE NO E-1025.",,,,,,,,
10167896,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10167896",,0100050003,"Mine Hill Mine",38.47753,-75.58573,NA,"United States",Delaware,Sussex,M,Iron,,,Surface,,,"Past Producer",,,,,,,,,,,"Eastern Field Operations Center (EFOC)",,,,,,,"WAR MIN MEMO REGIONAL FILE NO E-1025.",,,,,,,,
10167214,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10167214",,0100050008,"Collins Mine and Plant",38.73473,-75.48153,NA,"United States",Delaware,Sussex,M,Iron,,,Surface,,,"Past Producer",,,,,,,,,,,"Eastern Field Operations Center (EFOC)",,,,,,,"WAR MINERAL REPORTS 1941-REGIONAL FILE NO. E-1025, P.11# ASSOC. WITH PLANT, SEQ. NO. 0100059008",,,,,,,,
10143106,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10143106",,0100050002,"Elliot Farm Prospect",38.48393,-75.58403,NA,"United States",Delaware,Sussex,M,Iron,,,Surface,,,Prospect,,,,,,,,,,,"Eastern Field Operations Center (EFOC)",,,,,,,"WAR MIN MEMO REGIONAL FILE NO E-928.",,,,,,,,
10119157,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10119157",,0100050007,"Lewes Pit",38.75423,-75.17882,NA,"United States",Delaware,Sussex,N,"Sand and Gravel, Construction",,,Surface,,,Producer,,,,,,,,,,,"Eastern Field Operations Center (EFOC)",,,,,,,"MSHA LISTING 8-18-81MSHA INSP. REPT. 8-26-81",,,,,,,,
10073578,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10073578",W019692,,"Sussex Sand and Gravel Pit and Mill",38.54475,-75.26323,NA,"United States",Delaware,Sussex,N,"Sand and Gravel, Construction",,,Unknown,Sedimentary,S,"Past Producer","Sand and Gravel",,,,,,,,,,"U.S. Bureau Of Mines",,,,,,,"U.S. BUREAU OF MINES DATA BASE",,,,,,,,
10264984,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10264984",,0100039907,"Phoenix Steel/ Claymont, De.",39.80752,-75.44292,NA,"United States",Delaware,"New Castle",M,Iron,,,"Processing Plant",,,Plant,,,,,,,,,,,"Eastern Field Operations Center (EFOC)",,,,,,,"REF:73 DEL DIR OF COMMERCE AND IND,ADDRESS:CLAYMONT,DEL,EMP:1001 AND 1500PRODUCER OF ALLOY AND CARBON STEEL PLATES,DISHED STEEL HEADS",,,,,,,,
